,Rank,Title,Genre,Description,Director,Actors,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore
316,355,Insurgent,Adventure,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.,Robert Schwentke,"Shailene Woodley, Ansel Elgort, Theo James,Kate Winslet",2015,119,63,171970,130,42
317,356,Seventh Son,Action,"When Mother Malkin, the queen of evil witches, escapes the pit she was imprisoned in by professional monster hunter Spook decades ago and kills his apprentice, he recruits young Tom, the seventh son of the seventh son, to help him.",Sergei Bodrov,"Ben Barnes, Julianne Moore, Jeff Bridges, Alicia Vikander",2014,102,55,59958,17.18,30
318,358,The Theory of Everything,Biography,A look at the relationship between the famous physicist Stephen Hawking and his wife.,James Marsh,"Eddie Redmayne, Felicity Jones, Tom Prior, Sophie Perry",2014,123,77,299718,35.89,72
319,359,This Is the End,Comedy,"While attending a party at James Franco's house, Seth Rogen, Jay Baruchel and many other celebrities are faced with the Biblical Apocalypse.",Evan Goldberg,"James Franco, Jonah Hill, Seth Rogen,Jay Baruchel",2013,107,66,327838,101.47,67
320,360,About Time,Comedy,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",Richard Curtis,"Domhnall Gleeson, Rachel McAdams, Bill Nighy,Lydia Wilson",2013,123,78,221600,15.29,55
321,361,Step Brothers,Comedy,Two aimless middle-aged losers still living at home are forced against their will to become roommates when their parents marry.,Adam McKay,"Will Ferrell, John C. Reilly, Mary Steenburgen,Richard Jenkins",2008,98,69,223065,100.47,51
322,362,Clown,Horror,"A loving father finds a clown suit for his son's birthday party, only to realize that it is not a suit at all.",Jon Watts,"Andy Powers, Laura Allen, Peter Stormare, Christian Distefano",2014,100,57,14248,0.05,42
323,363,Star Trek Into Darkness,Action,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",J.J. Abrams,"Chris Pine, Zachary Quinto, Zoe Saldana, Benedict Cumberbatch",2013,132,78,417663,228.76,72
324,364,Zombieland,Adventure,"A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America.",Ruben Fleischer,"Jesse Eisenberg, Emma Stone, Woody Harrelson,Abigail Breslin",2009,88,77,409403,75.59,73
325,365,"Hail, Caesar!",Comedy,A Hollywood fixer in the 1950s works to keep the studio's stars in line.,Ethan Coen,"Josh Brolin, George Clooney, Alden Ehrenreich, Ralph Fiennes",2016,106,63,89059,30,72
326,366,Slumdog Millionaire,Drama,"A Mumbai teen reflects on his upbringing in the slums when he is accused of cheating on the Indian Version of ""Who Wants to be a Millionaire?""",Danny Boyle,"Dev Patel, Freida Pinto, Saurabh Shukla, Anil Kapoor",2008,120,80,677044,141.32,86
327,367,The Twilight Saga: Breaking Dawn - Part 2,Adventure,"After the birth of Renesmee, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",Bill Condon,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli",2012,115,55,194329,292.3,52
328,369,The Amazing Spider-Man,Action,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to solve the mystery of his parent's mysterious death.",Marc Webb,"Andrew Garfield, Emma Stone, Rhys Ifans, Irrfan Khan",2012,136,70,474320,262.03,66
329,370,Ben-Hur,Action,"Judah Ben-Hur, a prince falsely accused of treason by his adopted brother, an officer in the Roman army, returns to his homeland after years at sea to seek revenge, but finds redemption.",Timur Bekmambetov,"Jack Huston, Toby Kebbell, Rodrigo Santoro,Nazanin Boniadi",2016,123,57,28326,26.38,38
330,371,Sleight,Action,"A young street magician (Jacob Latimore) is left to care for his little sister after their parents passing, and turns to illegal activities to keep a roof over their heads. When he gets in ... See full summary »",J.D. Dillard,"Jacob Latimore, Seychelle Gabriel, Dulé Hill, Storm Reid",2016,89,60,702,3.85,62
331,372,The Maze Runner,Action,"Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.",Wes Ball,"Dylan O'Brien, Kaya Scodelario, Will Poulter, Thomas Brodie-Sangster",2014,113,68,335531,102.41,57
332,373,Criminal,Action,"In a last-ditch effort to stop a diabolical plot, a dead CIA operative's memories, secrets, and skills are implanted into a death-row inmate in hopes that he will complete the operative's mission.",Ariel Vromen,"Kevin Costner, Ryan Reynolds, Gal Gadot, Gary Oldman",2016,113,63,38430,14.27,36
333,374,Wanted,Action,"A frustrated office worker learns that he is the son of a professional assassin, and that he shares his father's superhuman killing abilities.",Timur Bekmambetov,"Angelina Jolie, James McAvoy, Morgan Freeman, Terence Stamp",2008,110,67,312495,134.57,64
334,375,Florence Foster Jenkins,Biography,"The story of Florence Foster Jenkins, a New York heiress who dreamed of becoming an opera singer, despite having a terrible singing voice.",Stephen Frears,"Meryl Streep, Hugh Grant, Simon Helberg, Rebecca Ferguson",2016,111,69,31776,27.37,71
335,376,Collide,Action,"An American backpacker gets involved with a ring of drug smugglers as their driver, though he winds up on the run from his employers across Cologne high-speed Autobahn.",Eran Creevy,"Nicholas Hoult, Felicity Jones, Anthony Hopkins, Ben Kingsley",2016,99,57,7583,2.2,33
336,377,Black Mass,Biography,"The true story of Whitey Bulger, the brother of a state senator and the most infamous violent criminal in the history of South Boston, who became an FBI informant to take down a Mafia family invading his turf.",Scott Cooper,"Johnny Depp, Benedict Cumberbatch, Dakota Johnson, Joel Edgerton",2015,123,69,135706,62.56,68
337,378,Creed,Drama,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",Ryan Coogler,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad",2015,133,76,175673,109.71,82
338,379,Swiss Army Man,Adventure,A hopeless man stranded on a deserted island befriends a dead body and together they go on a surreal journey to get home.,Dan Kwan,"Paul Dano, Daniel Radcliffe, Mary Elizabeth Winstead, Antonia Ribero",2016,97,71,61812,4.21,64
339,380,The Expendables 3,Action,"Barney augments his team with new blood for a personal battle: to take down Conrad Stonebanks, the Expendables co-founder and notorious arms trader who is hell bent on wiping out Barney and every single one of his associates.",Patrick Hughes,"Sylvester Stallone, Jason Statham, Jet Li, Antonio Banderas",2014,126,61,137568,39.29,35
340,381,What We Do in the Shadows,Comedy,"A documentary team films the lives of a group of vampires for a few months. The vampires share a house in Wellington, New Zealand. Turns out vampires have their own domestic problems too.",Jemaine Clement,"Jemaine Clement, Taika Waititi,Cori Gonzalez-Macuer, Jonny Brugh",2014,86,76,84016,3.33,76
341,382,Southpaw,Drama,Boxer Billy Hope turns to trainer Tick Wills to help him get his life back on track after losing his wife in a tragic accident and his daughter to child protection services.,Antoine Fuqua,"Jake Gyllenhaal, Rachel McAdams, Oona Laurence,Forest Whitaker",2015,124,74,169083,52.42,57
342,384,Bridge of Spies,Drama,"During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",Steven Spielberg,"Tom Hanks, Mark Rylance, Alan Alda, Amy Ryan",2015,142,76,217938,72.31,81
343,385,The Lego Movie,Animation,"An ordinary Lego construction worker, thought to be the prophesied 'Special', is recruited to join a quest to stop an evil tyrant from gluing the Lego universe into eternal stasis.",Phil Lord,"Chris Pratt, Will Ferrell, Elizabeth Banks, Will Arnett",2014,100,78,266508,257.76,83
344,386,Everest,Action,"The story of New Zealand's Robert ""Rob"" Edwin Hall, who on May 10, 1996, together with Scott Fischer, teamed up on a joint expedition to ascend Mount Everest.",Baltasar Kormákur,"Jason Clarke, Ang Phula Sherpa, Thomas M. Wright, Martin Henderson",2015,121,71,154647,43.25,64
345,387,Pixels,Action,"When aliens misinterpret video feeds of classic arcade games as a declaration of war, they attack the Earth in the form of the video games.",Chris Columbus,"Adam Sandler, Kevin James, Michelle Monaghan,Peter Dinklage",2015,105,56,101092,78.75,27
346,388,Robin Hood,Action,"In 12th century England, Robin and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.",Ridley Scott,"Russell Crowe, Cate Blanchett, Matthew Macfadyen,Max von Sydow",2010,140,67,221117,105.22,53
347,389,The Wolverine,Action,"When Wolverine is summoned to Japan by an old acquaintance, he is embroiled in a conflict that forces him to confront his own demons.",James Mangold,"Hugh Jackman, Will Yun Lee, Tao Okamoto, Rila Fukushima",2013,126,67,355362,132.55,60
348,390,John Carter,Action,"Transported to Barsoom, a Civil War vet discovers a barren planet seemingly inhabited by 12-foot tall barbarians. Finding himself prisoner of these creatures, he escapes, only to encounter Woola and a princess in desperate need of a savior.",Andrew Stanton,"Taylor Kitsch, Lynn Collins, Willem Dafoe,Samantha Morton",2012,132,66,220667,73.06,51
349,391,Keanu,Action,"When an L.A. drug kingpin's kitten unexpectedly enters the life of two cousins, they will have to go through gangs, hitmen and drug dealers who claim him in order to get him back.",Peter Atencio,"Keegan-Michael Key, Jordan Peele, Tiffany Haddish,Method Man",2016,100,63,31913,20.57,63
350,392,The Gunman,Action,"A sniper on a mercenary assassination team, kills the minister of mines of the Congo. Terrier's successful kill shot forces him into hiding. Returning to the Congo years later, he becomes the target of a hit squad himself.",Pierre Morel,"Sean Penn, Idris Elba, Jasmine Trinca, Javier Bardem",2015,115,58,31194,10.64,39
351,393,Steve Jobs,Biography,"Steve Jobs takes us behind the scenes of the digital revolution, to paint a portrait of the man at its epicenter. The story unfolds backstage at three iconic product launches, ending in 1998 with the unveiling of the iMac.",Danny Boyle,"Michael Fassbender, Kate Winslet, Seth Rogen, Jeff Daniels",2015,122,72,116112,17.75,82
352,395,Grown Ups 2,Comedy,"After moving his family back to his hometown to be with his friends and their kids, Lenny finds out that between old bullies, new bullies, schizo bus drivers, drunk cops on skis, and 400 costumed party crashers sometimes crazy follows you.",Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade",2013,101,54,114482,133.67,19
353,396,The Age of Adaline,Drama,"A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into.",Lee Toland Krieger,"Blake Lively, Michiel Huisman, Harrison Ford,Kathy Baker",2015,112,72,112288,42.48,51
354,397,The Incredible Hulk,Action,"Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he emerges whenever he loses his temper.",Louis Leterrier,"Edward Norton, Liv Tyler, Tim Roth, William Hurt",2008,112,68,342355,134.52,61
355,398,Couples Retreat,Comedy,"A comedy centered around four couples who settle into a tropical-island resort for a vacation. While one of the couples is there to work on the marriage, the others fail to realize that participation in the resort's therapy sessions is not optional.",Peter Billingsley,"Vince Vaughn, Malin Akerman, Jon Favreau, Jason Bateman",2009,113,55,86417,109.18,23
356,400,Magic Mike,Comedy,"A male stripper teaches a younger performer how to party, pick up women, and make easy money.",Steven Soderbergh,"Channing Tatum, Alex Pettyfer, Olivia Munn,Matthew McConaughey",2012,110,61,113686,113.71,72
357,401,Minions,Animation,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",Kyle Balda,"Sandra Bullock, Jon Hamm, Michael Keaton, Pierre Coffin",2015,91,64,159830,336.03,56
358,404,Despicable Me,Animation,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",Pierre Coffin,"Steve Carell, Jason Segel, Russell Brand, Julie Andrews",2010,95,77,410607,251.5,72
